tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260604,00858,永豐美國500大,36.12,36.14,36.0,36.03,-,0.16,392000,14133780.0,-63950,0,-55255,50,0,129000,64000,0,184255
20260604,00877,復華中國5G,44.65,45.2,44.16,44.8,-,0.27,3531000,157937050.0,-775000,0,-115373,309000,0,1235350,1084000,0,1350723
20260604,00886,永豐美國科技,44.9,44.95,44.79,44.95,-,0.1,34000,1523450.0,0,0,0,0,0,32000,0,0,32000
20260604,00887,永豐中國科技50大,17.83,17.94,17.67,17.9,-,0.07,6637000,118211970.0,-540200,0,1481705,438000,0,2750057,978200,0,1268352
20260604,00888,永豐台灣ESG,35.25,35.3,34.63,34.73,-,0.88,4812000,167896440.0,-585000,0,-838731,563000,0,1465626,1148000,0,2304357
20260604,00928,中信上櫃ESG 30,39.64,39.66,38.98,39.03,-,0.68,399000,15647540.0,-79985,0,93913,12015,0,247000,92000,0,153087
20260604,00955,中信日本商社,14.79,14.8,14.62,14.62,-,0.18,7321000,107381680.0,412765,0,-1325561,437765,0,1491000,25000,0,2816561
20260604,1264,德麥,266.5,271.5,266.5,271.5,+,5.0,56000,15133500.0,14100,0,-21000,20100,0,0,6000,0,21000
20260604,1268,漢來美食,171.0,171.5,169.5,170.5,,0.0,28000,4773500.0,1000,0,0,6000,0,0,5000,0,0
20260604,1294,漢田生技,79.1,79.6,78.7,78.7,-,0.3,30000,2375100.0,-6000,0,0,0,0,0,6000,0,0
20260604,1295,生合,49.6,50.5,48.4,49.2,-,1.0,69000,3413350.0,-7000,0,0,15000,0,0,22000,0,0
20260604,1336,台翰,14.5,14.8,14.5,14.55,+,0.15,353000,5163900.0,-57000,0,0,5000,0,0,62000,0,0
20260604,1565,精華,95.5,96.4,95.0,96.2,+,0.6,214000,20515800.0,2000,0,566,75000,0,566,73000,0,0
20260604,1569,濱川,53.9,54.6,51.6,51.6,-,2.7,1231000,64882200.0,-249710,0,-18000,195290,0,0,445000,0,18000
20260604,1570,力肯,52.1,52.7,50.0,51.0,-,0.8,448000,22894400.0,-2000,0,-1193,91000,0,1000,93000,0,2193
20260604,1580,新麥,126.0,127.5,125.5,127.5,+,1.5,70000,8857500.0,14040,0,0,21040,0,0,7000,0,0
20260604,1584,精剛,20.6,20.6,20.3,20.35,-,0.15,843000,17217800.0,-95880,0,5000,189120,0,5000,285000,0,0
20260604,1586,和勤,22.15,22.15,21.25,21.6,-,0.5,368000,8036750.0,57000,0,0,66000,0,0,9000,0,0
20260604,1591,駿吉-KY,42.6,42.7,41.5,41.5,-,1.75,193000,8084950.0,-2000,0,490,18000,0,5512,20000,0,5022
20260604,1593,祺驊,32.0,32.0,31.7,31.7,+,0.2,22000,701250.0,2000,0,176,2000,0,176,0,0,0
20260604,1595,川寶,76.9,79.5,76.3,77.0,-,1.1,981000,76072500.0,-88000,0,-12449,293000,0,5000,381000,0,17449
20260604,1599,宏佳騰,24.0,24.0,23.55,23.8,-,0.25,72000,1706500.0,3000,0,0,5000,0,0,2000,0,0
20260604,1742,台蠟,15.7,16.15,15.65,15.9,+,0.3,63000,994600.0,1000,0,0,4000,0,0,3000,0,0
20260604,1777,生泰,71.6,72.2,71.5,71.7,-,0.2,101000,7255300.0,0,0,0,3000,0,0,3000,0,0
20260604,1781,合世,11.4,12.6,11.4,12.0,+,0.35,376000,4590000.0,17000,0,0,27000,0,0,10000,0,0
20260604,1784,訊聯,66.9,68.2,66.3,67.4,+,1.1,330000,22178900.0,-43000,0,-119,87111,0,0,130111,0,119
20260604,1785,光洋科,140.0,144.5,138.5,139.5,-,2.5,9916000,1400262500.0,-214661,647,-6496,2316000,647,118732,2530661,0,125228
20260604,1788,杏昌,135.0,135.5,134.0,134.0,-,0.5,36000,4839500.0,2000,0,0,3000,0,0,1000,0,0
20260604,1796,金穎生技,37.4,37.4,36.65,36.65,+,0.05,14000,517450.0,-1000,0,0,0,0,0,1000,0,0
20260604,1799,易威,34.8,35.45,33.4,34.4,+,1.25,281000,9726800.0,63000,0,-56,98000,0,0,35000,0,56
20260604,1813,寶利徠,12.15,12.25,12.0,12.2,+,0.05,77000,935300.0,6000,0,0,19000,0,0,13000,0,0
20260604,1815,富喬,106.0,107.5,103.5,104.0,-,2.5,12981000,1361417500.0,-1106810,0,-15406,2078319,0,329595,3185129,0,345001
20260604,2061,風青,44.75,44.95,43.1,43.8,+,2.25,626000,27725750.0,7000,0,0,7000,0,0,0,0,0
20260604,2063,世鎧,25.2,25.4,25.2,25.4,-,0.05,11000,277450.0,-1000,0,0,0,0,0,1000,0,0
20260604,2064,晉椿,15.35,16.35,14.95,14.95,+,0.05,147000,2322450.0,-18000,0,2000,3000,0,2000,21000,0,0
20260604,2065,世豐,34.75,34.75,34.2,34.55,-,0.2,79000,2727050.0,-991,0,0,11009,0,0,12000,0,0
20260604,2066,世德,59.3,59.5,58.5,58.8,-,1.0,62000,3652300.0,-5000,0,0,10000,0,0,15000,0,0
20260604,2070,精湛,67.0,67.4,64.1,66.7,-,0.3,876000,57566700.0,49000,0,380,281000,0,3000,232000,0,2620
20260604,2221,大甲,42.75,42.9,41.5,42.55,+,0.2,297000,12507550.0,-2052,0,0,81100,0,0,83152,0,0
20260604,2230,泰茂,28.55,28.6,28.25,28.25,-,0.25,221000,6277650.0,40000,0,401,82000,0,541,42000,0,140
20260604,2596,綠意,29.55,29.85,29.5,29.6,+,0.35,149000,4415800.0,-12000,0,0,15000,0,0,27000,0,0
20260604,2640,大車隊,158.0,159.0,157.0,158.0,-,1.0,15000,2367500.0,1093,0,0,4093,0,0,3000,0,0
20260604,2641,正德,19.95,20.05,19.6,19.9,-,0.05,4673000,92177200.0,-603000,0,109784,470000,0,122000,1073000,0,12216
20260604,2643,捷迅,66.2,66.8,66.1,66.8,,0.0,12000,797300.0,-1000,0,0,0,0,0,1000,0,0
20260604,2718,全心投控,47.05,47.25,46.6,47.15,+,0.4,80000,3765400.0,22000,0,0,25000,0,0,3000,0,0
20260604,2719,燦星旅,25.4,26.5,25.3,26.0,+,0.6,49000,1261800.0,-2000,0,0,5000,0,0,7000,0,0
20260604,2724,藝舍-KY,13.3,13.3,12.5,13.0,-,0.5,30000,386150.0,0,0,-260,0,0,0,0,0,260
20260604,2726,雅茗-KY,9.84,10.35,9.84,10.3,+,0.4,8000,80450.0,2000,0,395,2000,0,395,0,0,0
20260604,2729,瓦城,159.5,160.0,159.0,159.0,+,1.0,24000,3823000.0,-140,0,0,6000,0,0,6140,0,0
20260604,2732,六角,64.2,64.5,64.2,64.4,-,0.2,23000,1480000.0,2000,0,822,3000,0,1000,1000,0,178
20260604,2734,易飛網,15.65,15.8,15.35,15.7,+,0.3,152000,2377400.0,-34000,0,0,4000,0,0,38000,0,0
20260604,2736,富野,12.1,12.35,12.1,12.3,+,0.15,94000,1152200.0,22000,0,59,22000,0,59,0,0,0
20260604,2743,山富,68.3,72.4,68.3,70.6,+,1.6,340000,23986400.0,29000,0,334,131000,0,2884,102000,0,2550
20260604,2745,五福,103.5,109.5,103.5,108.0,+,4.5,829000,88853000.0,72600,0,5000,198600,0,10000,126000,0,5000
20260604,2752,豆府,173.5,178.0,173.0,177.5,+,4.0,54000,9465500.0,8999,0,0,16000,0,0,7001,0,0
20260604,2754,亞洲藏壽司,68.8,69.6,67.8,68.2,-,0.4,20000,1364200.0,-7000,0,0,3000,0,0,10000,0,0
20260604,2755,揚秦,135.5,137.5,135.0,137.5,+,2.0,43000,5861000.0,13395,0,0,18395,0,0,5000,0,0
20260604,2756,聯發國際,59.9,60.4,59.0,60.2,+,0.3,36000,2158500.0,7000,0,0,12000,0,0,5000,0,0
20260604,2916,滿心,43.35,43.7,43.3,43.4,+,0.05,74000,3210850.0,-2000,0,0,14000,0,0,16000,0,0
20260604,2924,宏太-KY,15.7,17.25,15.65,17.25,+,1.55,38000,637250.0,2000,0,0,2000,0,0,0,0,0
20260604,3066,李洲,22.2,23.95,22.2,23.95,+,2.15,1911000,45065800.0,394000,0,7445,543000,0,7505,149000,0,60
20260604,3071,協禧,33.85,33.85,32.05,33.65,-,0.75,1367000,45089300.0,-87900,0,-458,308100,0,3000,396000,0,3458
20260604,3073,天方能源,23.7,24.8,23.65,24.8,+,2.25,417000,10195500.0,180000,0,2938,205000,0,3938,25000,0,1000
20260604,3078,僑威,58.9,58.9,58.1,58.6,-,0.4,846000,49497100.0,-166100,-1000,1915,210900,0,15000,377000,1000,13085
