tradeDate,stockCode,stockName,openPrice,highPrice,lowPrice,closePrice,changeSign,change,totalShares,totalAmount,foreignNetShares,investmentNetShares,dealerNetShares,foreignBuyShares,investmentBuyShares,dealerBuyShares,foreignSellShares,investmentSellShares,dealerSellShares
20260904,2324,仁寶,39.0,42.1,39.0,41.6,+,2.85,141506043,5781097796.0,69366284,-21000,1671047,91160046,0,2630517,21793762,21000,959470
20260904,00878,國泰永續高股息,33.9,34.13,33.81,34.11,+,0.53,58017725,1971994187.0,16022125,0,24853508,18466475,0,31573603,2444350,0,6720095
20260904,2317,鴻海,252.5,256.0,251.0,256.0,+,8.5,49402342,12576410974.0,26407791,1145278,1370181,37165393,1212278,1727599,10757602,67000,357418
20260904,2303,聯電,128.5,131.0,126.5,130.0,+,5.0,142867105,18470733693.0,26550699,2474000,-838039,69149376,2588000,1659473,42598677,114000,2497512
20260904,3231,緯創,195.5,200.0,193.0,198.0,+,9.5,82904263,16291830429.0,23925305,3435000,366699,44669998,3449000,2139131,20744693,14000,1772432
20260904,0050,元大台灣50,107.7,108.0,106.85,107.9,+,1.7,46705557,5017991081.0,12906389,0,9363556,19635192,0,11292215,6728803,0,1928659
20260904,00940,元大台灣價值高息,12.89,13.03,12.85,13.01,+,0.23,23896929,309705274.0,5482000,0,14455985,7528000,0,14537462,2046000,0,81477
20260904,2327,國巨*,535.0,562.0,532.0,562.0,+,51.0,57702985,31856140839.0,18525832,-42000,261593,27074006,11000,585986,8548174,53000,324393
20260904,2886,兆豐金,50.8,50.9,49.4,49.55,-,0.85,31950981,1588968092.0,13042537,3457000,-621933,19628181,3519000,139000,6585644,62000,760933
20260904,2892,第一金,36.95,37.3,36.4,37.3,+,0.45,30570826,1128178723.0,14323628,1307000,102019,25871641,1369000,139019,11548013,62000,37000
20260904,2353,宏碁,31.95,33.05,31.95,32.7,+,1.45,40071025,1305114004.0,14303460,165000,587667,23207460,211000,720951,8904000,46000,133284
20260904,2356,英業達,66.3,67.9,66.2,67.5,+,2.5,27074525,1821646579.0,13444182,282000,449138,21647033,300000,501010,8202851,18000,51872
20260904,2377,微星,153.0,163.0,153.0,161.5,+,11.0,23321408,3714731589.0,10951518,1518000,884993,14596038,1523000,1084382,3644520,5000,199389
20260904,2382,廣達,340.5,347.0,340.5,345.0,+,10.0,20571056,7095877034.0,12836784,242000,85397,16033172,259000,229127,3196388,17000,143730
20260904,2884,玉山金,43.25,43.55,42.8,43.55,+,0.35,61355856,2652165923.0,8186726,5238000,-685222,44840702,5307000,427452,36653976,69000,1112674
20260904,0056,元大高股息,55.15,55.5,54.7,55.4,+,0.9,22979939,1266699879.0,10531932,0,2015506,11478227,0,3048592,946295,0,1033086
20260904,2426,鼎元,98.0,104.5,95.2,104.5,+,9.5,62192930,6273693508.0,11198762,0,93835,22977877,0,247300,11779115,0,153465
20260904,2492,華新科,282.5,298.5,282.5,298.5,+,27.0,27375569,8064570394.0,10242177,-2000,389747,13456557,0,868714,3214380,2000,478967
20260904,2883,凱基金,36.4,36.7,35.95,36.7,+,0.8,42802542,1560014425.0,10007300,442000,96068,27626860,503000,522516,17619560,61000,426448
20260904,4938,和碩,91.5,95.5,91.1,95.4,+,5.0,18644249,1755066742.0,9303010,25941,345407,13980893,117000,422870,4677883,91059,77463
20260904,3714,富采,63.9,67.2,63.2,66.8,+,5.3,35248872,2325415795.0,9578120,0,-5805,16157067,0,306084,6578947,0,311889
20260904,2885,元大金,68.9,70.0,68.5,69.8,+,1.3,20306355,1412153015.0,7943464,1036000,-211785,14530770,1126000,155674,6587306,90000,367459
20260904,5880,合庫金,26.7,26.7,26.3,26.65,-,0.05,21410399,567768502.0,7784848,-73000,220000,17179532,0,224000,9394684,73000,4000
20260904,00900,富邦特選高股息30,19.64,19.78,19.55,19.75,+,0.22,9301609,182853168.0,1985500,0,5485116,2915000,0,5890319,929500,0,405203
20260904,2891,中信金,67.3,68.4,66.7,68.4,+,0.9,29198109,1980398521.0,5083286,2060000,-301564,22191743,2200000,212484,17108457,140000,514048
20260904,2889,國票金,16.55,16.75,16.35,16.6,+,0.15,20648721,341869310.0,6722433,0,22788,12678433,0,23000,5956000,0,212
20260904,0052,富邦科技,62.45,62.75,61.95,62.7,+,1.1,10899217,679516857.0,3411767,0,2850142,3789767,0,3989608,378000,0,1139466
20260904,2312,金寶,32.2,33.15,32.1,32.85,+,1.05,11344593,371681086.0,5308954,0,433339,6817416,0,710339,1508462,0,277000
20260904,2301,光寶科,308.0,316.0,302.0,308.0,+,9.0,27528977,8524055944.0,4774853,512000,303181,14086771,522000,553228,9311918,10000,250047
20260904,2313,華通,246.5,255.0,238.0,249.5,+,13.5,51923966,12859676469.0,3876584,786000,638609,21127667,791000,1423693,17251083,5000,785084
20260904,00881,國泰台灣科技龍頭,50.4,50.6,49.79,50.35,+,0.55,16314746,817599489.0,3931110,0,1229886,5603110,0,5343308,1672000,0,4113422
20260904,3090,日電貿,167.5,177.0,167.5,176.5,+,14.0,12141957,2110656414.0,4896896,82000,13833,6622896,82000,136637,1726000,0,122804
20260904,2388,威盛,75.4,82.4,75.4,81.4,+,6.4,14272565,1151365614.0,4346625,0,242892,6849731,0,482652,2503106,0,239760
20260904,6271,同欣電,227.5,237.0,227.5,237.0,+,21.5,15374517,3622880650.0,4342944,123000,103882,7493630,123000,336021,3150686,0,232139
20260904,2352,佳世達,28.95,29.3,28.75,29.25,+,0.75,7864250,228813780.0,3795117,417000,22213,4813117,417000,131918,1018000,0,109705
20260904,00882,中信中國高股息,15.05,15.14,15.04,15.09,+,0.13,5421339,81859822.0,1215000,0,2954668,1226000,0,3224668,11000,0,270000
20260904,2347,聯強,87.2,88.4,86.7,88.0,+,1.6,5869385,515072011.0,3537848,374041,25261,4183949,385000,57567,646101,10959,32306
20260904,2880,華南金,43.75,44.0,43.15,44.0,+,0.55,12694801,555086904.0,3976996,-25000,-83320,10300343,36000,155345,6323347,61000,238665
20260904,2881,富邦金,147.5,151.5,147.0,150.5,+,3.5,19146551,2868790167.0,3294593,-36000,149819,13523513,15000,512140,10228920,51000,362321
20260904,00891,中信關鍵半導體,34.98,35.08,34.55,34.96,+,0.58,7513202,261527193.0,2359500,0,844819,2953000,0,1105486,593500,0,260667
20260904,00909,國泰數位支付服務,48.34,48.68,48.33,48.66,+,3.8,4206663,203916999.0,2293850,0,768842,2362000,0,1242842,68150,0,474000
20260904,3094,聯傑,43.2,46.5,43.15,46.5,+,4.2,17920641,825572807.0,2835897,0,2109,5178585,0,3573,2342688,0,1464
20260904,5876,上海商銀,45.95,46.3,45.25,46.3,+,0.35,7546959,346870316.0,1968611,727000,8160,5844757,746000,66001,3876146,19000,57841
20260904,2357,華碩,988.0,1030.0,986.0,1025.0,+,54.0,5102743,5168660572.0,2385514,113722,61087,3428195,134000,407109,1042681,20278,346022
